Year,Provocation,Activity,Day,Month,Injury,State,Latitude,Longitude,SharkName,SharkLength,InjuryLocation,Gender,Age,IncidentTime,SharkScientific
2008,provoked,snorkelling,27.0,12,fatal,WA,-32.35,115.7166667,white shark,5.5,other: body not recovered,male,52.0,1900-01-01 07:00:00,Carcharodon carcharias
2008,provoked,unmotorised boating,27.0,12,uninjured,NSW,-33.73333333,151.3166667,white shark,5.0,other: uninjured,male,29.0,,Carcharodon carcharias
2009,provoked,spearfishing,12.0,1,injured,NSW,-34.53333333,150.8666667,dusky shark,1.9500000000000002,leg,male,25.0,1900-01-01 10:45:00,Carcharhinus obscurus
2009,provoked,diving,1.0,1,injured,QLD,-13.91666667,146.6166667,grey reef shark,2.0,calf,male,,,Carcharhinus amblyrhynchos
2009,unprovoked,boarding,11.0,1,injured,NSW,-28.18333333,153.55,white shark,2.0,leg,male,31.0,1900-01-01 09:30:00,Carcharodon carcharias
2009,unprovoked,boarding,11.0,1,injured,TAS,-41.23333333,148.3,white shark,5.0,leg,female,13.0,1900-01-01 14:00:00,Carcharodon carcharias
2009,unprovoked,swimming,24.0,1,injured,NSW,-35.76,150.2053,unknown,,"""arm, hand""",male,19.0,1900-01-01 16:30:00,unknown
2009,unprovoked,boarding,18.0,2,uninjured,NSW,-31.45,152.9166667,white shark,3.0,other: uninjured,male,24.0,1900-01-01 17:00:00,Carcharodon carcharias
2009,unprovoked,diving,11.0,2,injured,NSW,-33.85,151.2166667,bull shark,2.7,"""leg, hand""",male,31.0,1900-01-01 07:00:00,Carcharhinus leucas
2009,unprovoked,boarding,7.0,2,uninjured,NSW,-29.76666667,153.2833333,white shark,3.375,other: uninjured,male,,1900-01-01 07:30:00,Carcharodon carcharias
2009,unprovoked,boarding,12.0,2,injured,NSW,-33.88333333,151.2666667,white shark,2.5,"""arm, hand""",male,33.0,1900-01-01 19:30:00,Carcharodon carcharias
